,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021,01/01/2022,01/02/2022,01/03/2022,01/04/2022,01/05/2022,01/06/2022,01/07/2022,01/08/2022,01/09/2022,01/10/2022,01/11/2022,01/12/2022,01/01/2023,01/02/2023,01/03/2023
Como adubar o coqueiro,360288,378356,397008,424423,446357,474818,524586,524586,550166,577094,603464,634945,666865,685525,699391,713030,722007,737131,753787,770084,770084,770084,784304,790850,797712,804550,811195,821159,826809
Aquaponia passo a passo - Como montar,358635,361534,364207,367835,371764,377327,386116,386116,389175,391598,394034,396258,398512,400583,402508,404464,405947,408301,410925,413160,413160,413160,415328,416565,418502,420028,421561,423415,424480
Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,191218,195601,199578,204660,207842,211777,218796,218796,221674,224602,227507,230803,233925,236930,239577,242231,242645,243684,245836,247904,247904,250331,251946,253239,254384,255469,256374,257915,258590
Pesquisador mostra a aquaponia em sua casa,180918,181786,182670,183903,185247,186714,189685,189685,190773,191636,192529,193372,194133,194996,195849,196601,196762,197101,197871,198525,198525,199299,199813,200190,200688,201196,201694,202292,202658
Da hidroponia para aquaponia,186473,187106,187873,188750,189431,190255,191783,191783,192280,192805,193297,193711,194156,194535,194982,195414,195758,196310,197029,197527,197527,197527,198116,198462,198887,199296,199631,200128,200449
Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,62985,64897,66759,69154,70297,71922,74903,74903,76003,77242,78470,79684,81917,83799,85421,86977,87446,88501,89633,90556,90556,91762,92967,94148,95617,97006,98541,100566,101601
Como produzir mudas de gliricídia,55178,56393,57726,59482,60656,62297,65197,65197,66431,68347,71137,72825,74651,76471,77925,79587,79931,80973,82396,83674,83674,84774,85301,86157,87180,88337,90583,92007,92755
Raça Sindi - Gado para o semiárido,50726,52532,54708,57432,59053,61940,66747,66747,68406,70216,71586,72832,74031,75047,76352,77727,78186,79227,80359,81396,81396,81396,83308,84095,84688,85240,85867,86737,87072
Milheto demanda menos água durante o ciclo,41479,43568,45629,48202,49842,52147,56125,56125,57598,59338,61393,63532,65751,67647,69457,71585,72816,74273,75946,77341,77341,77341,79649,81056,82238,83301,84287,85712,86511
"A ""milagrosa"" leucena pode ser uma praga",52291,53380,54545,56049,57103,58494,61715,61715,62826,64155,65463,66647,68068,69325,70357,71561,71898,73002,74067,74945,74945,76144,77142,78053,78838,79592,80482,81493,82030
Aquaponia Sistema Familiar,54121,54509,54838,55348,55730,56229,57594,57594,58123,58453,58693,58949,59312,59537,59748,59972,60170,60474,60773,60944,60944,61187,61417,61628,61872,62044,62169,62275,62367
