,Como adubar o coqueiro,Aquaponia passo a passo - Como montar,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,Pesquisador mostra a aquaponia em sua casa,Da hidroponia para aquaponia,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,Como produzir mudas de gliricídia,Raça Sindi - Gado para o semiárido,Milheto demanda menos água durante o ciclo,"A ""milagrosa"" leucena pode ser uma praga",Aquaponia Sistema Familiar,Sorgo: uma boa opção de forragem para o semiárido do Nordeste,Embrapa alerta para o Amarelecimento Letal do Coqueiro,Fossa Séptica Biodigestora,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",Sorgo forrageiro é uma boa opção no convívio com a seca,Soja para diversificar cultura e rotacionar com milho em SE,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,Cobertura morta no coqueiro economiza água no plantio,Cobertura morta do coqueiro - passo a passo,Uso do drone na Agricultura,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,"Palma forrageira, gliricídia, ureia e farelo de algodão na nutrição animal",Tecnologia permite partos múltiplos em ovelhas Santa Inês,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)","Embrapa integra coqueiro, gado de corte e gliricídia em Alagoas",Pesquisa demonstra potencial de ervas daninhas na alimentação animal,Comparativo de plantio: banana Princesa e banana Maçã,Gliricídia como fonte de nitrogênio,Pesquisa sobre agricultura de precisão,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,Livro sobre mangaba,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",Soja vira solução para crise canavieira no Nordeste,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,Banco com espécimes de coqueiros de todo o mundo em Sergipe,Gliricídia convive bem com a seca,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",Embrapa distribui sementes de grãos biofortificados em SE,Palma forrageira: dicas de como alimentar seus animais no semiárido,Produção Racional e Sustentavel de Ovinos nos Tabuleiros Costeiros
01/11/2020,360288.0,358635.0,191218.0,180918.0,186473.0,62985.0,55178.0,50726.0,41479.0,52291.0,54121.0,47055.0,23609.0,0.0,4286.0,36020.0,1218.0,20363.0,1508.0,2562.0,19941.0,7337.0,11500.0,9361.0,9307.0,6241.0,6495.0,8910.0,0.0,6550.0,4699.0,5101.0,7578.0,26829.0,2787.0,2419.0,1512.0,32456.0,1216.0,1096.0,22222.0,0.0
01/12/2020,378356.0,361534.0,195601.0,181786.0,187106.0,64897.0,56393.0,52532.0,43568.0,53380.0,54509.0,47439.0,25020.0,0.0,4356.0,36599.0,1237.0,21232.0,1699.0,2982.0,20077.0,7977.0,12021.0,9816.0,9496.0,6514.0,6726.0,9074.0,0.0,6716.0,4911.0,5547.0,7596.0,27940.0,2905.0,2518.0,1534.0,32650.0,1221.0,1107.0,23305.0,0.0
01/01/2021,397008.0,364207.0,199578.0,182670.0,187873.0,66759.0,57726.0,54708.0,45629.0,54545.0,54838.0,47853.0,26623.0,0.0,4417.0,37193.0,1279.0,22348.0,1962.0,3582.0,20179.0,8580.0,12514.0,10289.0,9696.0,6846.0,7039.0,9255.0,0.0,6797.0,5083.0,5887.0,7613.0,29131.0,2997.0,2660.0,1553.0,32942.0,1226.0,1152.0,24663.0,0.0
01/02/2021,424423.0,367835.0,204660.0,183903.0,188750.0,69154.0,59482.0,57432.0,48202.0,56049.0,55348.0,48322.0,28503.0,0.0,4496.0,37945.0,1325.0,23902.0,2308.0,4527.0,20325.0,9440.0,13049.0,10794.0,9946.0,7192.0,7510.0,9512.0,0.0,6954.0,5295.0,6478.0,7636.0,30433.0,3095.0,2811.0,1586.0,33342.0,1230.0,1176.0,26691.0,0.0
01/03/2021,446357.0,371764.0,207842.0,185247.0,189431.0,70297.0,60656.0,59053.0,49842.0,57103.0,55730.0,48712.0,29652.0,0.0,4536.0,38496.0,1352.0,24752.0,2510.0,5279.0,20397.0,10048.0,13437.0,11108.0,10090.0,7488.0,7758.0,9704.0,0.0,7200.0,5455.0,6841.0,7659.0,31339.0,3199.0,2905.0,1611.0,33592.0,1231.0,1181.0,27857.0,0.0
01/04/2021,474818.0,377327.0,211777.0,186714.0,190255.0,71922.0,62297.0,61940.0,52147.0,58494.0,56229.0,49205.0,31232.0,0.0,4616.0,39184.0,1383.0,26200.0,2763.0,6623.0,20524.0,10917.0,13866.0,11764.0,10348.0,7881.0,8201.0,9969.0,0.0,7361.0,5638.0,7262.0,7688.0,32607.0,3349.0,3034.0,1645.0,33905.0,1242.0,1188.0,29156.0,0.0
01/05/2021,524586.0,386116.0,218796.0,189685.0,191783.0,74903.0,65197.0,66747.0,56125.0,61715.0,57594.0,50216.0,33949.0,0.0,4767.0,40415.0,1683.0,29355.0,3246.0,9850.0,20957.0,12433.0,14556.0,13410.0,13611.0,8611.0,9004.0,10411.0,0.0,7713.0,6040.0,7589.0,7740.0,35149.0,6208.0,3252.0,1688.0,34455.0,1312.0,1208.0,31853.0,0.0
01/06/2021,524586.0,386116.0,218796.0,189685.0,191783.0,74903.0,65197.0,66747.0,56125.0,61715.0,57594.0,50216.0,33949.0,0.0,4767.0,40415.0,1683.0,29355.0,3246.0,9850.0,20957.0,12433.0,14556.0,13410.0,13611.0,8611.0,9004.0,10411.0,0.0,7713.0,6040.0,7589.0,7740.0,35149.0,6208.0,3252.0,1688.0,34455.0,1312.0,1208.0,31853.0,0.0
01/07/2021,550166.0,389175.0,221674.0,190773.0,192280.0,76003.0,66431.0,68406.0,57598.0,62826.0,58123.0,50591.0,35147.0,0.0,4815.0,41003.0,1718.0,30652.0,3435.0,11369.0,21131.0,13053.0,14857.0,14213.0,13939.0,8839.0,9234.0,10561.0,0.0,7818.0,6230.0,7685.0,7765.0,36241.0,6492.0,3329.0,1695.0,34634.0,1325.0,1218.0,33124.0,0.0
01/08/2021,577094.0,391598.0,224602.0,191636.0,192805.0,77242.0,68347.0,70216.0,59338.0,64155.0,58453.0,50942.0,36742.0,0.0,4866.0,41763.0,1749.0,31996.0,3652.0,13032.0,21310.0,13620.0,15360.0,14832.0,14280.0,9197.0,9493.0,10689.0,0.0,7916.0,6425.0,7739.0,7799.0,37476.0,6640.0,3396.0,1714.0,34942.0,1334.0,1227.0,35132.0,0.0
